run_id,machine_id,cell,mode,death_q,threads,N,bytes_per_particle,trial,ns_frame,ns_particle
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.01,1,4000000,68,1,20087728.3,5.0219
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.01,1,4000000,68,2,20066881.7,5.0167
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,4000,68,0,46110.6,11.5277
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,4000,68,1,38793.1,9.6983
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,4000,68,2,33791.3,8.4478
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,16000,68,0,118010.6,7.3757
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,16000,68,1,99342.7,6.2089
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,16000,68,2,95080.6,5.9425
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,65000,68,0,380681.3,5.8566
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,65000,68,1,384156.9,5.9101
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,65000,68,2,383977.9,5.9074
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,262000,68,0,1514723.5,5.7814
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,262000,68,1,1523520.0,5.8150
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,262000,68,2,1519796.3,5.8007
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,1000000,68,0,5730032.5,5.7300
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,1000000,68,1,5758238.3,5.7582
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,1000000,68,2,5758816.5,5.7588
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,4000000,68,0,22790230.6,5.6976
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,4000000,68,1,22940524.8,5.7351
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.05,1,4000000,68,2,22939879.4,5.7350
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,4000,68,0,49319.8,12.3299
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,frame,0.1,1,4000,68,1,40217.7,10.0544
