run_id,machine_id,cell,death_q,checked
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,0,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,0.01,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,0.05,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,0.1,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,0.25,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,0.5,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-opt,0.75,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-opt,0,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-opt,0.01,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-opt,0.05,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-opt,0.1,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-opt,0.25,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-opt,0.5,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-halide.w2-opt,0.75,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,0,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,0.01,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,0.05,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,0.1,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,0.25,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,0.5,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,0.75,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B6.w1-autovec.w2-fused,0,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B6.w1-autovec.w2-fused,0.01,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B6.w1-autovec.w2-fused,0.05,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B6.w1-autovec.w2-fused,0.1,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B6.w1-autovec.w2-fused,0.25,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B6.w1-autovec.w2-fused,0.5,checked=PASS
20260801T204949Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B6.w1-autovec.w2-fused,0.75,checked=PASS
