run_id,machine_id,cell,mode,death_q,threads,N,bytes_per_particle,trial,ns_frame,ns_particle
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,262000,68,1,2173861.7,8.2972
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,262000,68,2,2133055.8,8.1414
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,1000000,68,0,8191926.0,8.1919
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,1000000,68,1,8192506.5,8.1925
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,1000000,68,2,8178039.2,8.1780
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,4000000,68,0,32718778.8,8.1797
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,4000000,68,1,32792796.9,8.1982
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,4000000,68,2,32790515.8,8.1976
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,16000000,68,0,130912415.2,8.1820
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,16000000,68,1,131060355.4,8.1913
20260801T185156Z-minibits-b7641c0e-513db44,minibits-b7641c0e,L1.B1.w1-autovec.w2-simple,frame,0.05,1,16000000,68,2,131011282.7,8.1882
