run_id,machine_id,cell,death_q,checked
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B3.w1-halide.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B4.w1-autovec.w2-simple,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B4.w1-autovec.w2-simple,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B4.w1-autovec.w2-simple,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B4.w1-autovec-par.w2-rmerge,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B4.w1-autovec-par.w2-rmerge,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B4.w1-autovec-par.w2-rmerge,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B5.w1-fused,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B5.w1-fused,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B5.w1-fused,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B6.w1-autovec.w2-fused,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B6.w1-autovec.w2-fused,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B6.w1-autovec.w2-fused,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B7.w1-autovec.w2-fused,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B7.w1-autovec.w2-fused,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B7.w1-autovec.w2-fused,0.25,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B8.w1-autovec.w2-fused,0.01,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B8.w1-autovec.w2-fused,0.05,checked=PASS
20260801T200454Z-minibits-b7641c0e-7e59438,minibits-b7641c0e,L1.B8.w1-autovec.w2-fused,0.25,checked=PASS
